frame_start	frame_end	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-choroid-plexus	non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
0	30	6.34696	0.01299	0.76751	1.54051	0.24862	0.26955	1.9197	2.86271	10.21907	8.49637	1.95897	1.12117	1.04343	0.86656	0.05495	5.44286	0.05759	8.31489	0.44007	3.95501	0.85731	3.4981	6.88892	19.01049	11.4319	0.04473	0.42462	0.40609	6.16409	7.32472	0.96094	4.9329	2.23043	24.44326	0.06071	2.00056	4.05156	4.16565	0.08417	2.5903	0.51941	2.63668	1.05361	1.85134	9.20869	3.03427	1.43603	1.06225	1.36978	1.34165	10.18445	4.04851	4.98411	2.94174	0.20023	0.23323	3.58705	4.21439	0.31861	6.58493	1.7192	1.67164	1.75132	3.19906	2.61621	6.74086	1.32993	0.02494	9.27461	0.74914	2.53402	0.38764	0.34967	3.92271	0.88223	0.24712	4.80539	1.80959	1.61009	0.29831	1.11373	3.52547	1.03517	2.09083	4.96853	0.25051	7.56203	2.01814	1.77385	23.0651	3.25068	2.40866	2.54179	2.28269	6.56119	0.57056	5.15326	5.18649	1.46451	2.77905	1.2499	0.42979	12.75317	2.8534	2.15793	8.41179	0.09161	2.85724	0.79527	14.29757	1.42991	1.67298	8.46409	1.77696	1.26599	1.14242	0.87638	1.22354	6.66218	8.31917	1.05307	0.75592	0.00933	0.15986	1.8081	2.23691	4.90491	9.63625	0.29254	14.41258	1.04627	3.52552	1.61316	8.83759	0.98069	0.0027	11.26055	0.14743	3.41956	3.56544	14.52229	0.45718	1.4406	1.12751	2.28426	2.16697	0.68037	0.42374	0.96643	4.39148	0.92194	2.81463	1.30024	0.06113	3.61448	3.73007	5.83261	16.54035	1.67249	0.95823	5.79245	1.02135	2.41067	2.52492	3.33089	4.5097	2.5875	1.98346	2.14	0.14278	9.85703	3.01472	6.84915	3.01443	4.21256
30	60	362.56685	460.45558	527.91563	628.14674	598.5418	518.07441	1017.6841	477.24888	462.24136	277.27096	609.14889	782.87851	809.36496	981.34103	819.18471	693.99717	364.60872	373.85055	459.05374	454.13075	676.36434	681.74161	461.68403	770.75616	532.38753	682.31337	568.58901	857.2317	582.57162	457.76047	192.35455	2135.48694	362.71725	548.87662	475.80258	492.03324	954.37192	815.64672	913.30808	781.6459	866.6076	439.8487	643.97168	733.94277	612.07718	690.00667	610.39095	778.48284	835.44771	997.73336	609.1996	603.62012	893.02945	948.54642	778.23133	788.113	778.12481	715.34605	797.61295	683.28584	813.3361	1199.56515	809.78565	889.14244	609.87314	760.4901	897.65341	858.4002	717.51557	1072.86565	1050.66052	736.65565	914.20706	829.06998	923.25595	474.51789	701.14352	704.07518	586.80635	770.0031	604.10744	683.04356	734.91091	762.46325	592.51686	943.20466	837.06259	884.86847	732.21007	840.80736	840.83742	776.04234	878.20343	765.84589	930.95627	1014.4748	796.16121	854.96885	730.22014	855.28501	788.46447	849.45754	365.64127	1124.73092	973.59101	414.83226	443.51911	501.60959	754.76921	258.44902	449.28067	534.29756	477.00976	545.2223	573.54771	558.63385	770.58344	744.61108	474.92303	435.5013	578.56753	605.04196	739.73779	559.16479	549.24792	627.27081	429.11576	462.7915	525.39095	744.83332	625.78294	616.3216	495.90099	570.95285	611.77745	997.11599	240.04428	837.22941	679.48769	373.8717	456.4863	529.50503	828.53335	375.24483	481.64732	505.72664	541.19405	422.68506	521.6798	540.43637	659.84865	598.8372	425.52728	884.09489	537.44236	502.95924	662.43896	640.73836	581.65286	672.72124	458.64688	499.46919	655.02593	543.1525	623.19763	659.27348	556.53469	650.64482	506.56421	790.86736	635.4507	819.22754	708.45043	330.72408	341.71684
60	90	4836.65295	5709.95158	5482.22911	6988.53663	7472.8042	6428.93723	8298.43454	5081.12767	6492.43068	4398.61737	6048.23673	6483.04793	6033.11532	8400.77151	7112.73375	6484.0051	5166.72405	4614.17088	5245.91949	4963.22978	6846.48764	7449.30212	6866.65522	7806.89468	6096.18127	6514.13766	5791.54668	8198.08378	6077.05206	5911.57616	2119.71118	10441.62729	4250.06052	5108.74613	4847.29807	3582.26765	5170.77257	7023.09165	7093.63282	8012.15412	9514.25305	5111.82671	7240.09216	6720.64179	6135.29594	7195.25002	6893.68577	6761.26204	8126.76171	7058.52687	5892.47276	5731.74178	7694.01813	7930.793	5910.40958	7358.96537	9210.83101	6921.18915	7318.65574	6799.39075	7689.95512	8054.43996	7157.88137	7511.66178	6548.03893	6557.03308	6966.97304	6521.61327	4751.39486	7892.16068	7637.94691	7711.99332	6728.46443	7822.969	9483.89808	4560.94938	6902.96726	6562.06117	6215.50153	7621.50202	6694.02611	7126.53713	7791.88003	6633.95656	6395.35787	6107.19015	7451.31149	8118.31137	6970.4713	7964.45093	8743.06613	6927.67884	7704.8347	6927.48062	8291.39709	7625.95307	7111.34857	7622.75543	6629.40559	7190.20989	7299.49534	7139.17919	3602.96271	8992.53753	7322.64073	4742.18436	4322.28539	4932.10038	7971.76289	3237.1886	5841.78729	5646.62601	5213.49204	4778.42361	6691.85635	5215.83571	7253.05448	5206.38774	4867.71923	5043.98314	5690.16111	6131.98328	7172.21006	6052.08949	6659.883	6037.44725	4168.99265	4828.47233	5735.82746	5125.34408	5585.49107	5464.04084	5294.10296	5230.64691	5096.9056	7408.32208	3667.86751	6079.13588	5979.99743	5049.22043	3902.37218	5157.82814	8395.5106	3663.51665	5393.3496	5143.58924	5203.84341	4990.75373	6060.71511	5150.39662	6723.04692	5071.76686	4836.1713	5716.4131	5279.70781	5871.81036	7092.54507	6304.99679	6672.11232	5850.17588	4627.02268	5098.004	5783.86657	4519.36922	5772.95944	5647.49131	4858.91755	5494.61417	4909.06086	7322.33202	3387.93667	6749.30225	5761.65467	3531.30753	3653.2346
90	120	8051.13266	9182.12989	9471.44681	11681.21798	12507.43634	11766.27159	13161.54373	8628.57839	11714.88333	8684.28435	9702.51805	10086.53487	8027.40067	14450.0118	12050.78608	10169.04937	9586.81294	7882.18652	8024.35436	8935.76198	12346.86454	12458.41684	12844.02734	13743.41493	9017.7604	10193.01674	7932.61019	10933.0754	10076.05734	9931.86211	5152.74512	12781.69579	5690.33299	8501.96767	8477.14038	6590.07623	7502.43751	12125.24422	11846.39072	12866.83884	14562.0439	7866.65075	11487.827	11857.6385	10863.86893	11465.83341	11062.12511	11921.77616	13210.41116	12486.23932	10306.31146	9662.07652	12926.3966	13423.20481	10102.02812	11660.22707	14766.78429	12045.13277	13255.30305	11875.33904	13409.2004	12502.52504	12303.8449	12713.53027	11205.69479	11124.99204	12056.04764	10987.87693	8421.65332	14180.86194	12567.73991	11655.73304	11777.51321	12778.01242	15664.98892	9238.49262	11659.77742	11386.2237	10732.84095	11500.39995	11318.03137	11813.51172	12899.55458	11976.83523	11160.34607	9991.48948	12757.13943	13554.43143	10212.75167	13157.88908	14955.80044	12062.1345	13134.51121	12008.56583	13286.7627	13490.88612	12315.56281	12575.15256	11793.79572	11549.29372	11974.18915	11855.35215	7460.93801	14173.20083	12380.54382	8019.81466	6696.99988	7821.19021	13575.97451	5426.38792	9412.13028	9548.91605	9174.47627	7488.51642	11177.51572	9619.05967	12421.97513	10019.66681	8876.41323	8261.16349	9635.78985	9960.28354	13140.36838	9878.34485	11374.34845	10685.0658	7293.20198	8697.26978	9523.77381	7816.36328	9782.42382	9396.47067	8756.3135	8983.79434	9074.45234	13287.03789	7245.25563	11675.71583	10065.15139	8142.07088	7125.1885	8227.23491	14377.16725	6908.9935	9340.65002	9149.31434	8962.39065	8266.00781	10671.36232	9098.56121	11468.28123	9101.70544	8652.62135	9336.77518	9366.81012	9912.04342	11787.98943	10825.93561	11545.9717	10563.63968	8036.65571	8875.64533	9543.00195	8040.66809	10205.36751	9413.54527	8791.32906	9554.22639	8255.35602	13442.86281	6516.13302	10299.18426	10074.13971	5743.24439	6073.24179
120	150	11218.83511	15052.31126	13191.77303	16843.13542	18720.26339	17231.71869	18208.77333	12376.82297	16224.80623	11495.59259	14148.39987	13820.65999	11975.98864	19050.22536	17288.75114	13397.66246	13713.2021	10396.94657	12746.95687	12397.72854	17161.07014	17748.46419	16565.01607	20334.95999	14004.16551	14211.87821	12510.06801	18410.789	13692.24971	13263.73942	5788.55176	13226.40065	7685.13264	10964.98683	8821.54036	7495.79638	9442.75791	16157.83373	15762.02173	17883.89164	19580.69242	11325.60692	15528.65738	15991.98887	15327.72174	15288.81013	15083.15622	16451.64039	18025.34764	16924.59223	14383.10666	13649.72038	18330.14848	18186.39806	13550.8895	16114.32486	20424.92059	16226.75504	17434.70901	16136.1481	18495.26049	17272.09979	16899.32225	17435.96211	16002.63082	15344.16299	16618.34939	14028.66704	11592.25584	18470.59149	17662.41825	17043.92329	15376.95541	17964.61155	20705.43721	11609.11155	15600.04565	16116.14465	15588.38069	16679.82412	15758.2803	16661.56589	17623.25751	15830.78948	15640.62382	12806.0263	17904.61856	18710.25831	14618.49326	17718.71318	21116.72671	16626.01717	17903.47433	16680.68648	19196.89729	17773.39033	17038.51599	18001.27519	16113.95241	15827.06857	17338.46629	16046.756	10385.41946	18867.36994	17484.75962	11218.48307	9417.22951	11413.84706	18038.65111	8690.77608	13253.00654	12908.55333	12826.90164	9941.85384	15485.77887	13763.82374	16745.25978	13314.9593	12583.90381	12197.83692	13848.98598	14149.38094	17395.74169	14184.42445	15629.31847	14509.66836	10291.42579	11989.36238	13236.96465	10181.0763	13663.60594	13007.38704	12270.466	12914.87594	12834.31732	17944.63016	9455.75081	14303.9774	14678.64657	11487.08207	9444.42838	11854.52059	18576.81206	9832.1787	12541.46709	12855.02931	13032.14099	11885.63774	14638.94334	12384.95729	16011.86142	12207.23884	12328.28632	12772.5833	13296.52076	13856.66955	16613.98498	14672.138	16465.06568	14444.97943	10702.77789	12309.07068	13874.75667	9965.68983	13931.24902	13084.88601	12508.1079	13030.13907	12539.21013	18337.26207	8307.72484	13693.9882	13873.83476	8356.88407	8611.46076
150	180	13031.57175	14528.98588	15612.70035	20140.05217	21016.10106	20041.75516	22676.83573	15481.93623	18110.32842	12936.2939	15892.48506	16343.52562	16737.84492	23809.15213	18026.96031	16370.96734	16558.40576	12404.07484	15184.83646	14548.20912	20315.11457	20770.43702	19307.07686	23654.60367	15448.79073	16273.1591	13028.09312	21088.99045	16563.94391	16510.73873	9893.11914	18766.00424	9540.7663	11653.28969	11135.87795	8588.94182	11548.0024	19326.07684	18807.54641	21608.62762	23371.94375	14161.13131	18691.05955	19468.06472	18260.61369	17812.91403	18121.90891	19316.56262	21220.66083	20515.85279	17338.12762	16438.7036	21384.779	22005.22788	16029.78874	19287.18263	23734.30146	19428.66337	20004.03755	19359.44926	22044.50287	20980.25339	20358.41284	20573.91982	19536.8853	18461.7682	19984.96255	18417.90789	13478.60078	21592.15105	20023.51911	19560.31735	17819.35094	21897.52229	24446.87672	14290.73935	19072.92264	18945.33214	18378.64998	18832.38378	18710.89762	19552.44163	21012.28809	18521.4788	17821.5276	14670.29991	20742.09947	22117.47425	17361.47487	21104.50926	24508.18798	19769.96419	20787.26978	19904.71315	22056.22393	20912.54299	20429.27763	21273.1003	18866.85655	18822.99658	20648.3414	18478.06423	12742.45415	20787.60657	20460.26831	13173.23903	10938.76337	13597.50227	22377.98847	10668.14716	16094.5332	15636.41392	15156.56142	11746.33617	18554.95398	15960.43239	19697.74804	15929.33509	14610.09038	14253.4652	15791.47498	16557.54711	20397.81501	16823.34576	18273.4358	17705.51975	11977.34611	14370.2702	15938.03104	13017.91674	16621.30278	15712.99735	15173.40955	16115.97094	15637.1973	22110.48808	11201.07766	18125.9594	16728.21984	13348.65619	10759.43008	13764.86429	22510.65539	11125.74244	15997.07536	15097.02549	15363.57522	13481.13078	17300.83811	15135.14166	18838.33174	14687.81627	13797.52267	14126.43222	15717.90284	16673.30751	19951.53376	17451.37709	18962.65754	17074.21685	13404.97787	14807.72588	15975.01234	12456.31227	16891.63143	15901.88949	14061.34476	15864.04939	14667.94357	22225.17619	10782.27425	15757.2751	16388.5688	9931.75768	10203.51598
180	240	15606.45457	18990.57182	18919.53144	24338.44913	26639.98924	24467.90412	28611.99146	19488.39881	24241.5636	15834.74249	19462.42198	19970.05555	19038.98007	26984.53746	24515.15258	20256.67667	19335.30935	14776.54777	18933.56466	18284.0989	24567.11409	25398.76748	23847.50965	29388.1859	20919.21516	19729.43256	18270.31312	25899.6056	19664.43055	20261.60368	10304.10352	22184.25035	10524.47464	15386.33339	13650.40286	10538.12527	13621.8378	22693.06654	22049.85608	25518.09568	26853.89192	17032.01283	22687.8841	23544.46433	22512.33764	21616.7924	21451.66666	23314.64249	25687.52387	24113.64065	21028.17759	19603.98257	24931.89738	25925.54383	19788.4362	23416.78026	28216.88862	23574.97301	24678.27888	23793.77536	26327.37939	24597.63579	24386.18532	24660.93164	22784.56243	21945.09509	23543.15972	20843.90302	17079.24843	26023.3871	24849.08825	24616.75355	22354.15234	26331.72614	28878.11016	16784.5194	23223.96211	23254.64785	22078.97917	22446.37586	22585.60437	23640.50415	25156.37636	22870.97166	22404.14502	19198.90026	25055.81496	26808.93891	20775.41553	25530.97573	28525.13306	24130.48425	25616.40335	23605.47086	26747.70202	25535.42365	24635.26981	25420.21624	23250.08853	22721.19329	24349.88881	21643.40015	14881.56126	25353.41133	24396.78325	15996.34051	13519.1253	15840.30284	25840.98334	12661.55836	19326.67919	18907.90133	18691.30908	14691.53661	22115.28254	19686.49859	24617.66985	19651.23582	17704.23908	17308.24827	18812.86269	19780.86246	25831.87789	20070.83937	21834.44008	21194.46854	14171.50884	17676.35583	19136.0939	15201.77736	19946.26505	18854.77656	18075.19766	18545.6041	18512.656	25734.07745	14510.98214	21553.32857	20615.78669	17096.45691	14066.15432	16788.11511	26607.14505	13207.10841	19258.45836	18731.0516	18984.58542	15844.50287	20941.99891	18789.40399	22501.82702	17728.86424	17824.95895	18025.03041	18396.17261	20066.59902	24768.49111	21470.98666	22037.09734	21016.45598	15992.00259	17640.68972	19308.94088	15416.97482	20215.61653	18993.94442	17435.3177	19227.07068	17746.95983	25434.93227	12805.82254	19075.93921	20321.50485	12006.65944	12323.28181
240	300	17580.15231	21445.17987	21892.85766	27612.14402	29571.38881	27576.40473	32229.79708	22085.53547	24980.18121	18531.04378	22819.19955	22330.67252	22462.11272	29282.38243	29811.28135	22721.40512	21146.79314	16786.05611	20285.32663	21330.77372	28016.58279	30300.29547	27344.57285	32801.29332	23136.09314	22092.82315	19311.82116	31036.90816	22064.06404	23285.93582	11371.24121	20781.72363	12148.66554	17198.13515	13949.52761	10825.3124	15905.89358	27066.6183	25118.51701	28777.13994	30305.44716	19939.37608	25682.88549	26209.25002	25946.39143	23837.67956	24394.41334	25641.99869	28240.28497	27747.04068	23919.98622	22425.85179	27560.96054	28931.66912	21300.221	26339.16926	31438.90337	26803.5757	28187.15264	26957.07077	29794.57588	27795.30561	27269.6994	28063.82182	26262.55253	25414.84629	27008.07813	22632.50278	18921.63845	29786.46889	28398.67622	27485.97653	24221.47116	29939.44074	32036.16309	19882.47537	26078.34169	26433.74983	25377.04409	24807.76372	25554.92747	26365.31252	28107.23621	25850.34773	25268.22805	21375.84462	28836.3865	29719.26794	23103.641	28547.09788	31191.67069	26636.62109	28266.85578	26776.73277	29928.82278	28482.73573	28126.15286	28682.94543	26040.22684	25856.65221	27605.06948	25358.80383	17559.43746	29876.48365	27894.59243	19368.14517	14697.95489	18215.6091	29383.20888	14568.11377	21971.09167	21284.10559	22214.00008	16025.54817	25034.92224	22893.87516	27086.72486	22888.31565	20685.02223	19916.04655	21091.89987	23038.79726	28362.58779	24141.78714	24031.10817	24283.68754	16263.64536	20186.71371	21810.86472	17120.916	22821.37147	21685.50889	20538.2045	21907.83643	20956.69908	29830.84499	16280.83739	25055.28195	24195.41142	19532.64188	15475.78189	19534.53439	29514.61721	15725.58595	21976.94257	21370.35925	22264.06206	17926.5787	24024.71095	21622.8452	26120.36742	20640.74278	20397.51127	20799.27258	21380.89049	22486.12169	28237.76497	24736.98233	24816.27177	23697.82829	17343.42652	20226.58353	21779.69942	17292.95958	23724.65705	21932.74062	19714.59162	21821.17704	20326.70418	30354.79204	14998.11588	23178.44173	23215.43274	13895.70625	14274.41156
300	360	18107.95799	22913.79001	22734.91215	28910.94009	31854.4286	28645.54291	34464.45384	23941.36108	26206.4012	19237.08044	22786.52756	22992.1378	20954.94345	29081.22635	30337.32066	23393.97717	22274.47853	17114.14681	21567.38701	21542.65757	28764.21111	31646.0219	28280.14539	34002.57871	25622.98591	23272.09846	22950.52961	30609.59128	23046.10268	24394.68906	12329.01074	22371.37458	12444.95417	17373.31596	14917.19372	14005.55053	15687.93234	27781.97202	26790.52221	29646.51157	30569.14577	21603.69446	26223.41301	27558.74191	26407.03392	24739.63326	25240.00781	26885.09914	29299.76425	28431.75787	24824.56069	23521.38313	28862.67426	29971.39561	22142.45938	27407.08431	32386.40751	27817.29695	28225.97362	27839.15581	30636.52018	28623.0899	28165.56458	28582.86853	26977.57014	26451.70518	27382.17599	23223.75969	20764.72931	29440.0913	29180.69518	29116.12464	25966.11642	30571.74289	32200.23069	22028.98324	26776.9692	27189.63477	25615.15107	24853.08495	26173.02473	27314.60143	28673.76773	27560.82759	25881.11258	22357.49631	29120.1036	29890.75537	24296.51826	29177.30144	31825.62633	27634.44005	29493.26876	27737.53533	31015.00258	29334.66499	28760.21891	29611.95922	27358.11116	26808.30204	28464.40357	25248.24093	17832.89005	29245.21431	28483.07416	19817.24075	15966.39746	19285.39543	29789.43758	15755.48814	22741.4374	22360.65338	22924.16301	17542.46893	25870.55484	23532.01908	28335.52695	23677.85828	21961.90226	20490.7893	22797.03878	24067.47416	29818.80905	24789.41095	24964.36194	25454.20558	16894.58166	21560.38816	22672.61724	18336.75581	23761.62046	22273.66069	21214.39139	22870.87845	21700.163	29347.48509	18024.33422	25541.42445	25311.05118	20335.63921	16954.33456	20624.03785	30113.69752	17154.17138	22893.86073	22136.15559	22840.73932	18543.657	25084.41571	22502.12077	26583.25443	22072.07404	21147.76711	21725.68302	21794.90818	23669.3623	29066.37989	25264.7024	25465.62681	24668.73867	18292.05192	21026.29054	23229.37567	18660.37709	24213.27094	22749.67333	20997.3015	22821.70465	21195.71403	31220.94457	16132.88275	22695.90871	24194.79434	14806.3781	15166.25618
360	480	17609.85671	21889.98805	23047.15381	28431.09403	32407.06768	28249.05507	33801.12649	24740.5818	26998.78673	18379.77276	23199.60962	23422.61864	22691.74313	30540.26528	31033.87384	24304.20315	21410.06969	17278.06762	21708.55872	22364.99593	28577.57878	32097.46545	28622.1679	34393.57802	25074.25613	24340.06384	19910.84601	32592.15848	23974.74313	23474.31083	13298.69727	21212.58743	13642.27417	17302.64232	15438.40512	13063.26648	16155.10896	27354.39237	26569.6562	29702.76831	30012.21799	22531.02113	26593.41201	27386.14373	26542.09298	24698.28837	24625.60463	27099.66064	28476.38218	28164.36859	25086.46701	23131.59841	29881.46584	29553.18091	22537.55719	27250.81056	31291.47356	27649.22831	28449.95229	27556.62495	30498.90895	29192.38379	27979.29433	28615.19459	27067.57056	26164.61971	27442.92136	23723.12974	21038.38266	29755.2219	29016.59663	28734.29306	25857.21147	30414.33963	32143.71049	22813.35151	26868.69758	27364.62408	26351.9525	24697.43995	25749.65348	27650.01459	27991.32989	27019.14528	26540.36719	22797.95613	29794.9334	30019.82151	24598.04596	29102.45009	30455.85515	27789.561	28596.49273	28036.56785	30254.15911	29772.0576	28592.75716	29599.47163	27130.19849	26692.80713	28163.62899	24947.68557	19306.77471	29092.97255	28453.74885	20159.28378	16142.60608	20224.33799	29972.84622	16619.55588	23540.3497	22891.50226	23417.76664	17854.90248	25787.79292	23837.58503	27921.04499	23328.38692	22340.75005	20461.35497	23292.40378	24041.93686	29567.9666	25170.67905	24966.95517	25566.77568	16866.67013	21780.31351	23262.15788	18760.36259	24213.28168	22944.6532	21926.894	22995.82355	22515.00775	29984.02091	18637.42762	26107.11704	25418.37412	20683.55288	17200.85011	21076.89312	29963.86774	17939.25944	23750.41152	22601.2437	23430.52014	18843.46294	24966.50451	22620.43863	26403.96368	22029.37197	21887.26309	22555.44762	23199.73765	23882.05766	29332.07825	25447.95945	24943.97314	25084.60271	18625.66752	22055.62836	23155.31497	18791.93776	24688.64503	23686.49178	21099.83892	23358.61297	21353.74784	30352.07475	16682.53004	23164.55356	24330.73612	15122.28438	15669.24255
